Mcule ID,SMILES,Similarity to hit - Tanimoto coefficient
MCULE-5313198933-0,N1C(C2C=CC=CN=2)=CSC=1NC1C=C(C)C=CN=1,1.000
MCULE-6813619596-0,N1C(C2C=CC=CN=2)=CSC=1NC1C=CC=CN=1,0.949
MCULE-4805869753-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=CC(C)=N1,0.936
MCULE-7785909335-0,C1(SC=C(C2=CC=CC=N2)N=1)NC1=C(C=CC=N1)C,0.898
MCULE-2602785017-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=C(C=N1)Cl,0.892
MCULE-3588516968-0,C1(SC=C(C2C=CC=CC=2)N=1)NC1=CC(C)=CC=N1,0.851
MCULE-3934951061-0,C1(SC=C(C2=CC=C(C=C2)C)N=1)NC1=CC(C)=CC=N1,0.845
MCULE-8745098580-0,C1(SC=C(C2C=CC=CC=2)N=1)NC1C=C(C)C=CN=1.Br,0.845
MCULE-2476838311-0,C1(SC=C(C2=CC=C3C(C=CC=C3)=C2)N=1)NC1=CC(C)=CC=N1,0.845
MCULE-7011722160-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC=C(C)C=1,0.839
MCULE-2529329639-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=C(C)C=1)C,0.834
MCULE-5714584588-0,CN1C(C2N=C(NC3=NC=CC=C3)SC=2)=CC=C1,0.830
MCULE-4185422015-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC=CC=1,0.823
MCULE-1317308726-0,N1C(C2=CC=CC=N2)=CSC=1NC1N=CC=CN=1,0.819
MCULE-8587039411-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=CC=1)C,0.818
MCULE-9680223126-0,C1(SC=C(C2C=CC=CC=2)N=1)NC1=CC=CC(C)=N1,0.818
MCULE-4617805198-0,C1(SC=C(C2=CC=C(C=C2)CC)N=1)NC1=CC(C)=CC=N1,0.816
MCULE-7895213428-0,C1(SC=C(C2C=CC(=CC=2)C(C)C)N=1)NC1=CC(C)=CC=N1,0.816
MCULE-2429244674-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=C(C)C=CC=1C,0.816
MCULE-8401709167-0,Br.N1C(C2C=CC=CN=2)=CSC=1NC1N=CC=CN=1,0.814
MCULE-5429993452-0,C1(SC=C(C2=CC=C(C=C2)C)N=1)NC1=CC=CC(C)=N1,0.812
MCULE-4772484328-0,NC1C=CC(NC2SC=C(C3C=CC=CN=3)N=2)=CC=1,0.811
MCULE-7297152911-0,C1(SC=C(C2=CC=C(C(C)=C2)C)N=1)NC1=CC(C)=CC=N1,0.811
MCULE-5705560492-0,C1(SC=C(C2=CC=CC=C2C)N=1)NC1=CC(C)=CC=N1,0.811
MCULE-8763334404-0,C1(SC=C(C2=CC=NC=C2)N=1)NC1=CC=CC(C)=N1,0.806
MCULE-9214113868-0,C1(SC=C(C2=CC=NC=C2)N=1)NC1=CC(C)=CC=N1,0.803
MCULE-6748012060-0,C1(SC=C(C2=CC=CC=C2)N=1)NC1=CC=CC=N1,0.801
MCULE-6069386561-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC=C(C=1)C(F)(F)F,0.801
MCULE-5580362264-0,C1(SC=C(C2C=CC(=CC=2)O)N=1)NC1=CC(C)=CC=N1,0.800
MCULE-5754389342-0,C1(SC=C(C2=CC=C(C=C2C)C)N=1)NC1=CC(C)=CC=N1,0.800
MCULE-9674437411-0,C1(SC=C(C2C=CC(=CC=2)F)N=1)NC1=CC(C)=CC=N1,0.800
MCULE-7617575695-0,Br.C1(SC=C(C2=CC=C(C=C2)Br)N=1)NC1C=C(C)C=CN=1,0.800
MCULE-1723642500-0,C1(SC=C(C2=CC=C(C=C2)Cl)N=1)NC1C=C(C)C=CN=1,0.800
MCULE-4655686459-0,C1(SC=C(C2=CC=C(C=C2)Br)N=1)NC1C=C(C)C=CN=1,0.800
MCULE-5332324725-0,C1(SC=C(C2=CC=NC=C2)N=1)NC1C=C(C)C=CN=1.Br,0.797
MCULE-2975934794-0,C1(SC=C(C2C=CC(=CC=2)C)N=1)NC1C=CC=CN=1,0.796
MCULE-7051984711-0,C1(SC=C(C2=CC=C3C(C=CC=C3)=C2)N=1)NC1=CC=CC=N1,0.796
MCULE-7226546366-0,C1(SC=C(C2=CC=C(C=C2)Cl)N=1)NC1C=C(C)C=CN=1.Br,0.795
MCULE-3400600976-0,N1C(C2C=CC=CN=2)=CSC=1NC1C=CC=C(N)C=1,0.795
MCULE-5843242138-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC=CC=1C,0.795
MCULE-3754551674-0,N1C(C2C=CC=CN=2)=CSC=1NC1=CC=CC(=C1)C(O)=O,0.792
MCULE-1000552781-0,C1(SC=C(C2C=CC(=CC=2)C(C)C)N=1)NC1=CC=CC(C)=N1,0.792
MCULE-8819637109-0,C1(SC=C(C2=CC=C(C=C2)CC)N=1)NC1=CC=CC(C)=N1,0.792
MCULE-7391850205-0,C1(NC2C=CC=CN=2)SC=C(C2C=CC(N)=CC=2)N=1,0.792
MCULE-4092878845-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=CC=1)CC,0.785
MCULE-2252278608-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=CC=1C)C,0.785
MCULE-2812267940-0,C1(SC=C(C2=CC=CC(Br)=C2)N=1)NC1C=C(C)C=CN=1,0.784
MCULE-5462777598-0,C1(SC=C(C2C(C)=CC(=C(C)C=2)C)N=1)NC1=CC(C)=CC=N1,0.784
MCULE-1359202691-0,C1(SC=C(C2=CC(C)=CC=C2C)N=1)NC1=CC(C)=CC=N1,0.784
MCULE-7817744968-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=C(C=C1)Br,0.784
MCULE-2428531930-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=C(C=C1)N(CC)CC,0.784
MCULE-3263006278-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=C(C=C1)F,0.784
MCULE-7583631203-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=C(C=C1)C(O)=O,0.783
MCULE-5032706078-0,C1(SC=C(C2=CC=C(C)C(C)=C2)N=1)NC1C=CC=C(C)N=1,0.780
MCULE-3625249599-0,Br.N1C(C2C=CC=CN=2)=CSC=1NC1C=CC(=CC=1)N(CC)CC,0.779
MCULE-4901322900-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=CC=1)O,0.779
MCULE-3919220524-0,C1(N(C)C2=CC=C(C=C2)O)SC=C(C2=CC=CC=N2)N=1,0.779
MCULE-6963293045-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC=C(C(C)=O)C=1,0.776
MCULE-6744271477-0,C1(SC=C(C2C=CC(=CC=2)CC)N=1)NC1=CC=CC=N1,0.776
MCULE-3501705318-0,C1(SC=C(C2=CC=NC=C2)N=1)NC1=CC=CC=N1,0.775
MCULE-7480351205-0,C1(SC=C(C2=CC=CC=C2Cl)N=1)NC1C=C(C)C=CN=1,0.774
MCULE-1073031650-0,C1(SC=C(C2=CC=C(C=C2)NC(C)=O)N=1)NC1=CC(C)=CC=N1,0.774
MCULE-7638513453-0,C1(SC=C(C2C=CC(=C(O)C=2)O)N=1)NC1=CC(C)=CC=N1,0.774
MCULE-4324912730-0,C1(SC=C(C2C=CC(=CC=2)OC)N=1)NC1C=C(C)C=CN=1,0.774
MCULE-5205794645-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=CC=1)N(=O)=O,0.773
MCULE-5576829746-0,C1(SC=C(C2C=CC=CC=2)N=1)NC1=CC=C(C=N1)C,0.772
MCULE-4554364476-0,C1(SC=C(C2C=CC(=CC=2)O)N=1)NC1=CC=CC(C)=N1,0.770
MCULE-9372586558-0,C1(SC=C(C2C=CC(=CC=2)F)N=1)NC1=CC=CC(C)=N1,0.770
MCULE-3625178160-0,C1(SC=C(C2=CC=C(C)C=C2C)N=1)NC1C=CC=C(C)N=1,0.770
MCULE-3676424224-0,C1(SC=C(C2C=CC(=C(Cl)C=2)Cl)N=1)NC1=CC(C)=CC=N1,0.769
MCULE-3420375029-0,Br.C1(SC=C(C2=CC=C(C=C2)OC)N=1)NC1C=C(C)C=CN=1,0.769
MCULE-9701356282-0,C1(SC=C(C2C=CC(=C(C)C=2)F)N=1)NC1=CC(C)=CC=N1,0.769
MCULE-8426347919-0,C1(NC2C=C(C)C=CN=2)SC(=C(C2C=CC(=CC=2)C)N=1)C,0.769
MCULE-8985895794-0,C1(SC=C(C2C=CC(=CC=2)C)N=1)NC1=CC=C(C=N1)C,0.767
MCULE-7572305388-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC=NC=1,0.767
MCULE-5509234010-0,C1(SC=C(C2=CC=CC=C2)N=1)NC1C(=CC=CN=1)C,0.767
MCULE-2555663559-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=CC=1)C(C)=O,0.766
MCULE-6378916711-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=C(Cl)C=1)C,0.766
MCULE-8230688498-0,Br.C1(SC=C(C2C=CC(=C(Cl)C=2)Cl)N=1)NC1=CC(C)=CC=N1,0.764
MCULE-8021793405-0,C1(SC=C(C2C=CC(=CC=2)OCC)N=1)NC1=CC(C)=CC=N1,0.764
MCULE-1430680803-0,C1(SC=C(C2C=CC(=C(C)C=2)C)N=1)NC1=CC=CC=N1,0.764
MCULE-7998134036-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=CC(O)=C1,0.763
MCULE-4183270958-0,C1(SC=C(C2=CC=C3C(C=CC=C3)=C2)N=1)NC1=C(C=CC=N1)C,0.762
MCULE-2073598852-0,C1(SC=C(C2=CC=C(C=C2)C)N=1)NC1=C(C=CC=N1)C,0.762
MCULE-8435587353-0,C1(SC=C(C2=CC=CC(Cl)=C2)N=1)NC1C=CC=C(C)N=1,0.761
MCULE-4995452320-0,C1(SC=C(C2=CC=CN=C2)N=1)NC1=CC(C)=CC=N1,0.761
MCULE-2845988403-0,N1=C(NC)SC=C1C1C=CC=CN=1,0.761
MCULE-2945614700-0,ClC1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1.Cl,0.760
MCULE-2451634822-0,C1(SC=C(C2=CC=C(C=C2)Cl)N=1)NC1C=CC=CN=1,0.760
MCULE-7078195638-0,C1(SC=C(C2C=CC=C(OC)C=2)N=1)NC1=CC(C)=CC=N1,0.759
MCULE-2538773067-0,Cl[H].C1(SC=C(C2C=CC(=C(C)C=2)C)N=1)NC1=CC=CC=N1,0.758
MCULE-7635638622-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=C(C=C1)NC(C)=O,0.758
MCULE-6861949298-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=CC=1)OC,0.758
MCULE-9447404457-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC=CC=1Br,0.758
MCULE-1172598052-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC=CC=1CC,0.758
MCULE-9185092908-0,Br.C1(SC=C(C2C=CC=NC=2)N=1)NC1C=C(C)C=CN=1,0.756
MCULE-6837916996-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC=CC=1C(F)(F)F,0.756
MCULE-9667064343-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC=C(Cl)C=1Cl,0.756
MCULE-8327823611-0,N(=O)(=O)C1C=CC=CC=1NC1SC=C(C2=CC=CC=N2)N=1,0.755
MCULE-5596640009-0,C1(SC=C(C2=CC=CC(Br)=C2)N=1)NC1C=CC=C(C)N=1,0.755
MCULE-9825795491-0,C1(SC=C(C2C=CC(=CC=2C)C)N=1)NC1=CC=CC=N1,0.753
MCULE-2729263550-0,C1(SC=C(C2C=CC(=CC=2)O)N=1)NC1=CC=CC=N1,0.753
MCULE-8713890895-0,C1(SC=C(C2C=CC(=CC=2)Br)N=1)NC1=CC=CC=N1,0.753
MCULE-5628220625-0,C1(SC=C(C2C=CC(=CC=2)F)N=1)NC1=CC=CC=N1,0.753
MCULE-1162352817-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC=CC=1F,0.753
MCULE-2678266375-0,C1(SC=C(C2=CC=C(C=C2)NC(C)=O)N=1)NC1=CC=CC(C)=N1,0.752
MCULE-3778829744-0,C1(SC=C(C2=CC=CC=C2Cl)N=1)NC1C=CC=C(C)N=1,0.752
MCULE-8178315462-0,C1(SC=C(C2C=CC(=CC=2O)O)N=1)NC1=CC(C)=CC=N1,0.750
MCULE-9356321358-0,C1(SC=C(C2=CC=CN=C2)N=1)NC1=CC=CC(C)=N1,0.750
MCULE-4300164718-0,C1(SC=C(C2=CC=C3C(C=CC=C3)=C2)N=1)NC1=CC=C(C=N1)Cl,0.750
MCULE-1138497466-0,C1(SC=C(C2C=CC(=CC=2)C)N=1)NC1C=CC(=CN=1)Cl,0.750
MCULE-1644506074-0,O=N(C1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1)=O,0.750
MCULE-6104292906-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=CC(=C1)N(=O)=O,0.748
MCULE-2911653613-0,C1(SC=C(C2C=CC(=CC=2)CC)N=1)NC1=CC=C(C=N1)C,0.748
MCULE-1563258495-0,C1(SC=C(C2=CC=C(C=C2)C(C)C)N=1)NC1=CC=C(C=N1)C,0.748
MCULE-7098152254-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=CC=1)OCC,0.748
MCULE-3081052764-0,C1(SC=C(C2=CC=NC=C2)N=1)NC1=C(C=CC=N1)C,0.748
MCULE-1421579995-0,Cl.FC1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1,0.748
MCULE-9943153320-0,C1(SC=C(C2C=CC(=CC=2C)C)N=1)NC1=CC=CC=N1.Cl[H],0.748
MCULE-9181412875-0,C1(NC2C=CC=C(C)N=2)SC(=C(C2C=CC(=CC=2)C)N=1)C,0.747
MCULE-8731808359-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=CC(Cl)=C1C,0.745
MCULE-9548554279-0,C1(SC=C(C2C=CC(=CC=2)OC)N=1)NC1=CC=CC(C)=N1,0.745
MCULE-6972447517-0,CSC1=CC=C(C2N=C(NC3=NC=CC=C3)SC=2)C=C1,0.745
MCULE-4569622380-0,C1(SC=C(C2=CC=CC(Cl)=C2)N=1)NC1C=CC=CN=1,0.745
MCULE-5188763659-0,N1C(C2=CC=CC=N2)=CSC=1NC1C=CC(=C(C(O)=O)C=1)O,0.744
MCULE-8048315717-0,N1C(C2=CC=CC=N2)=CSC=1NC1=C(Cl)C=CC(=C1)C(F)(F)F,0.744
MCULE-8199591587-0,N1C(C2=CC=CC=N2)=CSC=1NC1=CC=C(C=C1Br)Br,0.744
MCULE-1067415001-0,C1(SC=C(C2C=CC(=C(C)C=2)OC)N=1)NC1=CC(C)=CC=N1,0.741
MCULE-5395612857-0,C1(SC=C(C2C=CC(=C(C)C=2)F)N=1)NC1=CC=CC(C)=N1,0.741
